Time,Event Title,Price,URL
2025-03-25 00:42:25,Toronto Blue Jays at New York Mets (Home Opener),$112,https://www.stubhub.com/new-york-mets-flushing-tickets-4-4-2025/event/154615866/?quantity=4
2025-03-25 00:44:22,2025 Rolling Loud Miami - 3 Day Pass (Friday - Sunday),$495,https://www.stubhub.com/rolling-loud-miami-tickets-12-12-2025/event/156615304/?quantity=2
2025-03-25 00:44:25,Toronto Blue Jays at New York Mets (Home Opener),$112,https://www.stubhub.com/new-york-mets-flushing-tickets-4-4-2025/event/154615866/?quantity=4
2025-03-25 00:46:23,2025 Rolling Loud Miami - 3 Day Pass (Friday - Sunday),$495,https://www.stubhub.com/rolling-loud-miami-tickets-12-12-2025/event/156615304/?quantity=2
2025-03-25 00:46:25,Toronto Blue Jays at New York Mets (Home Opener),$112,https://www.stubhub.com/new-york-mets-flushing-tickets-4-4-2025/event/154615866/?quantity=4
2025-03-25 00:48:24,2025 Rolling Loud Miami - 3 Day Pass (Friday - Sunday),$495,https://www.stubhub.com/rolling-loud-miami-tickets-12-12-2025/event/156615304/?quantity=2
2025-03-25 00:48:26,Toronto Blue Jays at New York Mets (Home Opener),$112,https://www.stubhub.com/new-york-mets-flushing-tickets-4-4-2025/event/154615866/?quantity=4
2025-03-25 00:50:24,2025 Rolling Loud Miami - 3 Day Pass (Friday - Sunday),$495,https://www.stubhub.com/rolling-loud-miami-tickets-12-12-2025/event/156615304/?quantity=2
2025-03-25 00:50:26,Toronto Blue Jays at New York Mets (Home Opener),$112,https://www.stubhub.com/new-york-mets-flushing-tickets-4-4-2025/event/154615866/?quantity=4
2025-03-25 00:52:23,2025 Rolling Loud Miami - 3 Day Pass (Friday - Sunday),$495,https://www.stubhub.com/rolling-loud-miami-tickets-12-12-2025/event/156615304/?quantity=2
2025-03-25 00:52:26,Toronto Blue Jays at New York Mets (Home Opener),$112,https://www.stubhub.com/new-york-mets-flushing-tickets-4-4-2025/event/154615866/?quantity=4
2025-03-25 00:54:21,2025 Rolling Loud Miami - 3 Day Pass (Friday - Sunday),$495,https://www.stubhub.com/rolling-loud-miami-tickets-12-12-2025/event/156615304/?quantity=2
2025-03-25 00:54:25,Toronto Blue Jays at New York Mets (Home Opener),$112,https://www.stubhub.com/new-york-mets-flushing-tickets-4-4-2025/event/154615866/?quantity=4
2025-03-25 00:56:24,2025 Rolling Loud Miami - 3 Day Pass (Friday - Sunday),$495,https://www.stubhub.com/rolling-loud-miami-tickets-12-12-2025/event/156615304/?quantity=2
2025-03-25 00:56:24,Toronto Blue Jays at New York Mets (Home Opener),$112,https://www.stubhub.com/new-york-mets-flushing-tickets-4-4-2025/event/154615866/?quantity=4
2025-03-25 00:58:23,2025 Rolling Loud Miami - 3 Day Pass (Friday - Sunday),$495,https://www.stubhub.com/rolling-loud-miami-tickets-12-12-2025/event/156615304/?quantity=2
2025-03-25 00:58:26,Toronto Blue Jays at New York Mets (Home Opener),$112,https://www.stubhub.com/new-york-mets-flushing-tickets-4-4-2025/event/154615866/?quantity=4
